Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Spain,ESP,..,71077,92755,114410,130132,147884,169187,180717,204357,239544,259819,282371,306189,330459,355554,379070,400928,421393,455675,491595,523907,548080,571174,592010,611433,633210,657826,678680,701928,722661,740830,755743,766267,775297,789747,805593,823609,841932,862140,881977,899700,925688,946053,943653,966598,980808,1000222,1016043,1030440,1038726,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80000,85000,87000,89283,89283,104751,107000,111000,114188,108166,108166,106700,105250,103756,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30851,32810,27746,26650,25726,25067,23913,23479,23102,22046,22615,22053,21837,22748,21182,21372,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Portugal,PRT,..,10748,11806,12891,14086,15535,17843,19076,21656,26900,32200,37500,42800,48100,53300,58600,63900,69200,74400,79700,85000,90300,95600,100800,106100,111400,116700,122000,127200,132548,132000,131473,131000,146589,148000,150087,152000,154393,160000,168495,169810,171130,172450,173800,175150,176394,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Netherlands,NLD,..,62000,70000,78000,86000,94000,102000,110400,118700,127000,135293,140000,144500,149100,153700,156529,160000,164000,168000,172957,178000,178000,180000,183000,183186,183373,183100,182850,182600,182450,182228,182000,180000,178000,176000,172596,167000,161000,155000,149530,148500,147500,146500,145500,144500,144600,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Malta,MLT,..,98,103,108,107,86,91,97,111,129,143,155,174,322,325,329,335,411,405,398,410,433,437,440,443,445,447,448,448,448,448,449,450,450,450,510,496,615,734,853,972,1091,1092,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73856,81624,83727,87344,91261,94500,97300,101012,102000,102227,103000,105400,107800,110200,113200,114900,117580,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7165,7284,7042,6926,6787,6898,6673,6421,6446,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61400,57600,55600,50500,63000,56938,53366,54919,55815,55644,56498,55294,55697,56100,57830,59562,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Italy,ITA,..,272849,304893,338584,377107,419943,460893,509234,542791,584214,614712,657269,698278,742766,780602,819334,865715,909580,953197,1006080,1072168,1105593,1139050,1169513,1197998,1227134,1269147,1315427,1362932,1399375,1429756,1455811,1431256,1464322,1490767,1522463,1541227,1561363,1601025,1620084,1643613,1695989,1754401,..,..,..,..,..,..,..,..,..,..,..,..,..,..
